name,matched_airport_name,matched_city,matched_country,iata,lat,lon,match_method,role
BREST (BELARUS),Brest Airport,Brest,BY,BQT,52.1083,23.8981,city_match_single,destination
BRIDGETOWN,Sir Grantley Adams International Airport,Bridgetown,BB,BGI,13.0746,-59.4925,city_match_single,destination
BRINDISI,Brindisi / Casale Airport,Brindisi,IT,BDS,40.6576,17.947,city_match_single,destination
BRISTOL,Bristol International Airport,Bristol,GB,BRS,51.3827,-2.71909,city_match_single,destination
BRIVE-LA-GAILLARDE,Brive-Souillac Airport,Brive,FR,BVE,45.0392,1.4833,manual_override,destination
BRIZE NORTON,RAF Brize Norton,Brize Norton,GB,BZZ,51.75,-1.58362,city_match_single,destination
BRNO (TURANY),Brno-Turany Airport,Brno,CZ,BRQ,49.1513,16.6944,city_match_single,destination
BRUSSELS,Brussels Airport,Brussels,BE,BRU,50.5405,4.2904,city_multi_noqualifier_guess,destination
BUCHAREST (BANEASA),Baneasa International Airport,Bucharest,RO,BBU,44.5032,26.1021,city_multi_qualifier(0.69),destination
BUCHAREST (OTOPENI),Henri Coanda International Airport,Bucharest,RO,OTP,44.5722,26.1022,city_multi_qualifier(0.15),destination
BUDAPEST,Budapest Ferenc Liszt International Airport,Budapest,HU,BUD,47.4369,19.2556,city_match_single,destination
BUENOS AIRES,Jorge Newbery Airpark,Buenos Aires,AR,AEP,-34.5592,-58.4156,city_match_single,destination
BUFFALO,Buffalo Niagara International Airport,Buffalo,US,BUF,42.940427,-78.73057,city_multi_noqualifier_guess,destination
BURGAS,Burgas Airport,Burgas,BG,BOJ,42.5696,27.5152,city_match_single,destination
BYDGOSZCZ,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,PL,BZG,53.0968,17.9777,city_match_single,destination
CAGLIARI (ELMAS),Cagliari / Elmas Airport,Cagliari,IT,CAG,39.2515,9.05428,city_match_single,destination
CAIRO,Cairo International Airport,Cairo,EG,CAI,30.1219,31.4056,city_multi_noqualifier_guess,destination
CAIRO WEST AFB,Cairo International Airport,Cairo,EG,CAI,30.1219,31.4056,city_multi_noqualifier_guess,destination
CALGARY,Calgary International Airport,Calgary,CA,YYC,51.1139,-114.02,city_match_single,destination
CALVI,Calvi-Sainte-Catherine Airport,Calvi/Sainte-Catherine,FR,CLY,42.5308,8.79319,city_match_single,destination
CANCUN,Cancun International Airport,Cancun,MX,CUN,21.0365,-86.8771,city_match_single,destination
CANNES,Cannes-Mandelieu Airport,Cannes/Mandelieu,FR,CEQ,43.542,6.95348,city_match_single,destination
CAPE TOWN,Cape Town International Airport,Cape Town,ZA,CPT,-33.9648,18.6017,city_match_single,destination
CARCASSONNE,Carcassonne Airport,Carcassonne/Salvaza,FR,CCF,43.216,2.30632,city_match_single,destination
CARDIFF WALES,Cardiff International Airport,Cardiff,GB,CWL,51.3967,-3.34333,city_match_single,destination
CASABLANCA MOHAMED V,Mohammed V International Airport,Casablanca,MA,CMN,33.3675,-7.58997,city_match_single,destination
CASCAIS,Cascais Airport,Cascais,PT,CAT,38.725,-9.35523,city_match_single,destination
CASTELLON COSTA AZAHAR,Castellon-Costa Azahar Airport,Castellon,ES,CDT,40.2131,0.0733,manual_override,destination
CATANIA (FONTANAROSSA),Catania / Fontanarossa Airport,Catania,IT,CTA,37.4668,15.0664,city_match_single,destination
CHALONS (VATRY),Chalons-Vatry Air Base,Chalons/Vatry,FR,XCR,48.7761,4.18449,city_match_single,destination
CHAMBERY,Chambery-Savoie Airport,Chambery/Aix-les-Bains,FR,CMF,45.6381,5.88023,city_match_single,destination
CHANGSHA HUANGHUA INTERNATIONAL AIRPORT,Changsha Huanghua Airport,Changsha,CN,CSX,28.1892,113.22,city_match_single,destination
CHANIA,Chania International Airport (Souda),Chania,GR,CHQ,35.5317,24.1497,manual_override,destination
CHARLEROI,Brussels South Charleroi Airport,Charleroi,BE,CRL,50.4592,4.4525,manual_override,destination
